time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.154,-0.21482,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.155,-0.220266,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.156,-0.225706,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.157,-0.231139,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.158,-0.236564,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.159,-0.241982,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.16,-0.247393,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.161,-0.252796,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.162,-0.258191,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.163,-0.263577,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.164,-0.268956,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.165,-0.274326,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.166,-0.279688,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.167,-0.285041,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.168,-0.290384,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.169,-0.295719,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.17,-0.301045,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.171,-0.306361,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.172,-0.311668,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.173,-0.316965,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.174,-0.322252,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.175,-0.327528,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.176,-0.332795,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.177,-0.338051,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.178,-0.343297,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.179,-0.348532,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.18,-0.353756,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.181,-0.358969,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.182,-0.364171,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.183,-0.369361,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.184,-0.37454,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.185,-0.379707,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.186,-0.384862,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.187,-0.390006,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.188,-0.395137,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.189,-0.400256,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.19,-0.405362,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.191,-0.410455,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.192,-0.415536,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.193,-0.420604,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.194,-0.425658,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.195,-0.4307,0,-0.04,0.04,0,-0.0984229
